id_estudiante;plan;anio_ingreso;fecha_ingreso;fecha_ultimo_examen;anio_ultima_reinscripcion;promedio_sin_aplazos;promedio_con_aplazos;actividades_aprobadas;total_actividades;regular;calidad;segundo_anio;err_formato_matricula;regla_verificacion_calidad
CB-015780-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N;True;ok
CB-016072-1;2007;2020;01/04/2020;;;7.0;7.0;3;40;S;P;N;True;err
CB-016116-7;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N;True;err
CB-015844-1;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N;True;ok
CB-015902-2;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N;True;ok
CB-016025-0;2007;2020;01/04/2020;05/08/2021;2021.0;5.38;6.5;6;40;S;A;S;True;ok
CB-016761-1;2007;2020;01/04/2020;18/03/2021;2021.0;6.75;8.33;3;40;S;A;N;True;ok
CB-015912-0;2007;2020;01/04/2020;;2021.0;6.0;6.0;1;40;N;A;N;True;err
CB-015977-4;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N;True;ok
CB-016129-9;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N;True;ok
CB-015905-7;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N;True;err
CB-016489-1;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-015881-6;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016428-0;2007;2020;01/04/2020;20/08/2021;2021.0;6.27;7.38;10;40;S;A;S;True;ok
CB-016413-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015865-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015864-6;2007;2020;01/04/2020;;2021.0;7.57;7.57;7;40;S;A;S;True;ok
CB-016788-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-016426-3;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-016463-8;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-015982-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N;True;ok
CB-016798-0;2007;2020;01/04/2020;;2021.0;8.5;8.5;4;40;S;A;N;True;ok
CB-016432-8;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N;True;ok
CB-015776-3;2007;2020;01/04/2020;;;7.0;7.0;3;40;S;P;N;True;err
CB-016043-8;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-016753-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016796-3;2007;2020;01/04/2020;23/08/2021;2021.0;5.0;7.33;8;40;S;A;S;True;ok
CB-015816-6;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N;True;ok
CB-015805-1;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N;True;ok
CB-017503-6;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N;True;ok
CB-015792-5;2007;2020;01/04/2020;;2021.0;7.0;7.0;4;40;S;A;N;True;ok
CB-015878-6;2007;2020;01/04/2020;;;10.0;10.0;1;40;N;P;N;True;ok
CB-015852-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-015918-9;2007;2020;01/04/2020;18/08/2021;2021.0;7.55;7.55;12;40;S;A;S;True;ok
CB-016442-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-015939-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;2;40;S;A;N;True;ok
CB-016067-5;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N;True;err
CB-015951-1;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N;True;err
CB-016509-0;2007;2020;01/04/2020;19/08/2021;2021.0;7.33;7.33;3;40;S;A;N;True;ok
CB-008805-2;2007;2020;01/04/2020;;;6.64;6.64;11;40;S;P;S;True;err
CB-016493-0;2007;2020;01/04/2020;18/03/2021;2021.0;5.0;7.0;3;40;S;A;N;True;ok
CB-016762-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;3;40;S;A;N;True;ok
CB-016327-5;2007;2020;01/04/2020;;2021.0;6.75;6.75;4;40;S;A;N;True;ok
CB-016470-1;2007;2020;01/04/2020;;;9.0;9.0;2;40;S;P;N;True;err
CB-015855-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N;True;err
CB-016123-0;2007;2020;01/04/2020;18/08/2021;2021.0;7.25;7.25;6;40;S;A;S;True;ok
CB-014048-8;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N;True;err
CB-016456-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016103-5;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016118-3;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-016439-5;2007;2020;01/04/2020;;2021.0;8.5;8.5;2;40;S;A;N;True;ok
CB-015906-5;2007;2020;01/04/2020;23/08/2021;2021.0;6.67;7.6;7;40;S;A;S;True;ok
CB-017505-2;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-015777-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016004-7;2007;2020;01/04/2020;;;6.33;6.33;3;40;S;P;N;True;err
CB-015957-0;2007;2020;01/04/2020;;2021.0;7.5;7.5;4;40;S;A;N;True;ok
CB-015775-5;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015932-4;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-016404-2;2007;2020;01/04/2020;18/08/2021;2021.0;8.0;8.0;5;40;S;A;S;True;ok
CB-015942-1;2007;2020;01/04/2020;03/08/2021;2021.0;7.8;7.8;6;40;S;A;S;True;ok
CB-015791-7;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N;True;ok
CB-016044-6;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N;True;ok
CB-016501-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016018-7;2007;2020;01/04/2020;;2021.0;7.0;7.0;1;40;N;A;N;True;err
CB-013240-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016507-3;2007;2020;01/04/2020;20/03/2021;2021.0;4.0;6.0;1;40;N;A;N;True;err
CB-015545-1;2007;2020;01/04/2020;;2021.0;9.0;9.0;2;40;S;A;N;True;ok
CB-015801-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N;True;err
CB-015830-1;2007;2020;01/04/2020;19/08/2021;2021.0;5.33;6.75;9;40;S;A;S;True;ok
CB-016022-5;2007;2020;01/04/2020;20/03/2021;2021.0;5.25;6.33;3;40;S;A;N;True;ok
CB-015833-6;2007;2020;01/04/2020;;2021.0;6.71;6.71;7;40;S;A;S;True;ok
CB-016140-0;2007;2020;01/04/2020;20/08/2021;2021.0;6.6;8.67;3;40;S;A;N;True;ok
CB-016007-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016011-0;2007;2020;01/04/2020;;;7.67;7.67;3;40;S;P;N;True;err
CB-016440-9;2007;2020;01/04/2020;16/03/2021;2021.0;5.5;6.67;3;40;S;A;N;True;ok
CB-016051-9;2007;2020;01/04/2020;20/08/2021;2021.0;4.6;6.33;4;40;S;A;N;True;ok
CB-016095-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015863-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016425-5;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-012097-5;2007;2020;01/04/2020;;2021.0;6.4;6.4;5;40;S;A;S;True;ok
CB-015794-1;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N;True;ok
CB-016105-1;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N;True;err
CB-015929-4;2007;2020;01/04/2020;18/08/2021;2021.0;7.44;7.44;11;40;S;A;S;True;ok
CB-015983-9;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016479-4;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N;True;ok
CB-016467-1;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N;True;err
CB-016393-3;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016452-2;2007;2020;01/04/2020;;2021.0;8.33;8.33;3;40;S;A;N;True;ok
CB-015981-2;2007;2020;01/04/2020;;;7.5;7.5;2;40;S;P;N;True;err
CB-016414-0;2007;2020;01/04/2020;05/08/2021;2021.0;5.71;8.25;4;40;S;A;N;True;ok
CB-016122-1;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N;True;err
CB-016026-8;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N;True;err
CB-016113-2;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016423-9;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015882-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016462-0;2007;2020;01/04/2020;;2021.0;7.67;7.67;3;40;S;A;N;True;ok
CB-016820-0;2007;2020;01/04/2020;;2021.0;9.0;9.0;2;40;S;A;N;True;ok
CB-016394-1;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016758-1;2007;2020;01/04/2020;16/03/2021;2021.0;6.75;6.75;8;40;S;A;S;True;ok
CB-016086-1;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N;True;ok
CB-014287-1;2007;2020;01/04/2020;;2021.0;0.0;0.0;0;40;N;A;N;True;err
CB-015874-3;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N;True;err
CB-016062-4;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016002-1;2007;2020;01/04/2020;20/08/2021;2021.0;5.67;7.25;4;40;S;A;N;True;ok
CB-015997-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;5;40;S;A;S;True;ok
CB-013301-5;2007;2020;01/04/2020;;;7.13;7.13;8;40;S;P;S;True;err
CB-015861-1;2007;2020;01/04/2020;19/08/2021;2021.0;6.91;7.4;13;40;S;A;S;True;ok
CB-015899-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016403-4;2007;2020;01/04/2020;;;9.5;9.5;2;40;S;P;N;True;err
CB-016030-6;2007;2020;01/04/2020;19/08/2021;2021.0;6.69;7.7;12;40;S;A;S;True;ok
CB-016076-4;2007;2020;01/04/2020;17/08/2021;2021.0;6.55;7.44;10;40;S;A;S;True;ok
CB-014390-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015955-3;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015871-9;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N;True;ok
CB-016068-3;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-016422-1;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015980-4;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-016023-3;2007;2020;01/04/2020;;2021.0;7.75;7.75;4;40;S;A;N;True;ok
CB-017734-9;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016408-5;2007;2020;01/04/2020;;;9.0;9.0;1;40;N;P;N;True;ok
CB-015868-9;2007;2020;01/04/2020;;2021.0;8.25;8.25;4;40;S;A;N;True;ok
CB-015979-1;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-016075-6;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-015926-0;2007;2020;01/04/2020;;2021.0;6.75;6.75;4;40;S;A;N;True;ok
CB-015950-2;2007;2020;01/04/2020;;2021.0;7.33;7.33;3;40;S;A;N;True;ok
CB-015850-6;2007;2020;01/04/2020;18/08/2021;2021.0;7.7;7.7;12;40;S;A;S;True;ok
CB-015866-2;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-016092-6;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-015984-7;2007;2020;01/04/2020;;;7.0;7.0;1;40;N;P;N;True;ok
CB-015894-8;2007;2020;01/04/2020;03/08/2021;2021.0;8.67;8.67;7;40;S;A;S;True;ok
CB-015971-5;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-013985-4;2007;2020;01/04/2020;20/08/2021;2021.0;6.94;7.13;17;40;S;A;S;True;ok
CB-016094-2;2007;2020;01/04/2020;;2021.0;6.5;6.5;2;40;S;A;N;True;ok
