id_estudiante;plan;anio_ingreso;fecha_ingreso;fecha_ultimo_examen;anio_ultima_reinscripcion;promedio_sin_aplazos;promedio_con_aplazos;actividades_aprobadas;total_actividades;regular;calidad;segundo_anio;err_formato_matricula;regla_verificacion_calidad
CB-015840-9;2007;2020;01/04/2020;19/08/2021;2021.0;6.33;7.4;12;40;S;A;S;True;ok
CB-015845-0;2007;2020;01/04/2020;18/08/2021;2021.0;7.08;8.1;11;40;S;A;S;True;ok
CB-015784-4;2007;2020;01/04/2020;18/08/2021;2021.0;8.17;8.17;8;40;S;A;S;True;ok
CB-015849-2;2007;2020;01/04/2020;;2021.0;7.0;7.0;3;40;S;A;N;True;ok
CB-016418-2;2007;2020;01/04/2020;;;6.0;6.0;1;40;N;P;N;True;ok
CB-015967-7;2007;2020;01/04/2020;23/08/2021;2021.0;5.33;7.0;4;40;S;A;N;True;ok
CB-015907-3;2007;2020;01/04/2020;18/08/2021;2021.0;7.27;7.7;12;40;S;A;S;True;ok
CB-016749-1;2007;2020;01/04/2020;20/08/2021;2021.0;5.25;6.33;4;40;S;A;N;True;ok
CB-015873-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-015817-4;2007;2020;01/04/2020;;2021.0;7.67;7.67;6;40;S;A;S;True;ok
CB-016045-4;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N;True;err
CB-016475-1;2007;2020;01/04/2020;18/08/2021;2021.0;8.0;8.0;5;40;S;A;S;True;ok
CB-015814-0;2007;2020;01/04/2020;;2021.0;7.0;7.0;4;40;S;A;N;True;ok
CB-002193-4;2007;2020;01/04/2020;;;6.5;6.5;16;40;S;P;S;True;err
CB-016480-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-015857-3;2007;2020;01/04/2020;20/08/2021;2021.0;6.64;6.9;12;40;S;A;S;True;ok
CB-015810-7;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-012229-3;2007;2020;01/04/2020;;2021.0;6.0;6.0;2;40;S;A;N;True;ok
CB-015999-5;2007;2020;01/04/2020;;;8.0;8.0;1;40;N;P;N;True;ok
CB-015936-7;2007;2020;01/04/2020;20/08/2021;2021.0;6.0;6.67;3;40;S;A;N;True;ok
CB-015782-8;2007;2020;01/04/2020;;2021.0;7.0;7.0;15;40;S;A;S;True;ok
CB-016476-0;2007;2020;01/04/2020;17/12/2020;2021.0;5.75;7.0;3;40;S;A;N;True;ok
CB-016505-7;2007;2020;01/04/2020;;;6.5;6.5;2;40;S;P;N;True;err
CB-016135-3;2007;2020;01/04/2020;20/03/2021;2021.0;6.33;7.57;8;40;S;A;S;True;ok
CB-015883-2;2007;2020;01/04/2020;23/08/2021;2021.0;5.77;7.0;12;40;S;A;S;True;ok
CB-015284-2;2007;2020;01/04/2020;23/02/2021;2021.0;5.5;9.0;2;40;S;A;N;True;ok
CB-015823-9;2007;2020;01/04/2020;;;8.5;8.5;2;40;S;P;N;True;err
CB-016141-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-015829-8;2007;2020;01/04/2020;;;8.0;8.0;2;40;S;P;N;True;err
CB-017510-9;2007;2020;01/04/2020;;2021.0;7.5;7.5;2;40;S;A;N;True;ok
CB-016010-1;2007;2020;01/04/2020;27/02/2021;2021.0;5.67;7.5;2;40;S;A;N;True;ok
CB-016110-8;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016430-1;2007;2020;01/04/2020;18/08/2021;2021.0;7.0;7.0;3;40;S;A;N;True;ok
CB-015947-2;2007;2020;01/04/2020;;;6.0;6.0;2;40;S;P;N;True;err
CB-016115-9;2007;2020;01/04/2020;20/08/2021;2021.0;6.58;6.82;13;40;S;A;S;True;ok
CB-016037-3;2007;2020;01/04/2020;18/08/2021;2021.0;6.8;7.22;10;40;S;A;S;True;ok
CB-015877-8;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016013-6;2007;2020;01/04/2020;;2021.0;8.0;8.0;2;40;S;A;N;True;ok
CB-016496-4;2007;2020;01/04/2020;;;7.0;7.0;2;40;S;P;N;True;err
CB-015917-1;2007;2020;01/04/2020;20/08/2021;2021.0;7.58;8.0;12;40;S;A;S;True;ok
CB-015862-0;2007;2020;01/04/2020;;;0.0;0.0;0;40;N;P;N;True;ok
CB-016001-2;2007;2020;01/04/2020;;2021.0;8.33;8.33;3;40;S;A;N;True;ok
