propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;estadoN;rindio_examen;inscrito_ult_ciclo
130;S;S;Alto;A;1.0;0.3333333333333333;0.238095238095238;A;S;S
130;S;S;Alto;N;0.5;0.3333333333333333;0.3809523809523809;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
130;S;N;Alto;N;0.5;0.0;0.0952380952380952;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
134;S;N;Medio;N;0.5;0.0;0.075;P;S;S
130;N;N;Alto;N;1.0;0.0;0.0238095238095238;P;N;N
130;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
130;S;N;Alto;N;1.0;0.0;0.0952380952380952;P;S;S
130;S;N;Medio;N;0.5;0.0;0.0476190476190476;A;N;S
130;N;N;Alto;N;1.0;0.6666666666666666;0.0238095238095238;A;N;N
130;S;S;Alto;N;0.0;0.6666666666666666;0.4047619047619047;A;S;S
130;S;N;Medio;N;1.0;0.0;0.0714285714285714;P;N;S
130;S;N;Medio;N;1.0;0.3333333333333333;0.0476190476190476;A;N;S
130;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
130;S;N;Alto;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;N;N;Bajo;N;0.5;0.0;0.0;A;N;N
130;S;S;Medio;N;1.0;0.6666666666666666;0.3095238095238095;A;S;S
130;N;N;Alto;N;0.5;0.0;0.0238095238095238;P;N;N
130;N;N;Alto;N;0.0;0.6666666666666666;0.0238095238095238;A;N;N
130;S;N;Medio;N;0.5;0.6666666666666666;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.0;0.7619047619047619;A;N;S
130;S;N;Medio;N;0.5;0.3333333333333333;0.0476190476190476;A;N;S
130;S;S;Alto;N;0.5;0.3333333333333333;0.4761904761904761;A;S;S
